#TYPE Selected.System.Management.Automation.PSCustomObject
"Name","PowerState","Version","Guest","NumCpu","MemoryGB","Host","HostId","VMHostId","VMHost","VApp","ResourcePoolId","ResourcePool","UsedSpaceGB","ProvisionedSpaceGB","DatastoreIdList","FolderId","Folder"
"vmpima01","PoweredOn","v4","vmpima01:Red Hat Enterprise Linux 6 (64-bit) (unsupported)","2","6","vmware09.copv.junta-andalucia.es","HostSystem-host-20315","HostSystem-host-20315","vmware09.copv.junta-andalucia.es",,"ResourcePool-resgroup-20250","Resources","26,000496722757816314697265625","26,000496722757816314697265625","System.String[]","Folder-group-v20244","vm"
"sid2","PoweredOn","v4","sid2:Microsoft Windows Server 2003, Enterprise Edition (32-bit)","2","0,75","vmware05.copv.junta-andalucia.es","HostSystem-host-131093","HostSystem-host-131093","vmware05.copv.junta-andalucia.es",,"ResourcePool-resgroup-130593","Resources","32,715490396134555339813232422","32,715490396134555339813232422","System.String[]","Folder-group-v20244","vm"
"pre10","PoweredOn","v7","pre10:Red Hat Enterprise Linux 6 (64-bit) (unsupported)","1","2","vmware08.copv.junta-andalucia.es","HostSystem-host-22983","HostSystem-host-22983","vmware08.copv.junta-andalucia.es",,"ResourcePool-resgroup-20250","Resources","22,000896639190614223480224609","22,000896639190614223480224609","System.String[]","Folder-group-v20244","vm"
"siddesa1","PoweredOn","v4","siddesa1:Microsoft Windows Server 2003, Standard Edition (32-bit)","2","0,5","vmware05.copv.junta-andalucia.es","HostSystem-host-131093","HostSystem-host-131093","vmware05.copv.junta-andalucia.es",,"ResourcePool-resgroup-130593","Resources","17,465293111279606819152832031","17,465293111279606819152832031","System.String[]","Folder-group-v20244","vm"
"vmveaval01","PoweredOn","v7","vmveaval01:Red Hat Enterprise Linux 6 (64-bit) (unsupported)","1","2","vmware06.copv.junta-andalucia.es","HostSystem-host-130585","HostSystem-host-130585","vmware06.copv.junta-andalucia.es",,"ResourcePool-resgroup-130593","Resources","10,000754679553210735321044922","10,000754679553210735321044922","System.String[]","Folder-group-v20244","vm"
"vpscseca01","PoweredOff","v4","vpscseca01:Microsoft Windows XP Professional (32-bit)","1","2","vmware06.copv.junta-andalucia.es","HostSystem-host-130585","HostSystem-host-130585","vmware06.copv.junta-andalucia.es",,"ResourcePool-resgroup-130593","Resources","20,000429037027060985565185547","22,000429037027060985565185547","System.String[]","Folder-group-v20244","vm"
"vmcabhu","PoweredOn","v4","vmcabhu:Microsoft Windows Server 2003, Standard Edition (32-bit)","1","1","vmware09.copv.junta-andalucia.es","HostSystem-host-20315","HostSystem-host-20315","vmware09.copv.junta-andalucia.es","cabeceras","VirtualApp-resgroup-v174296",,"21,005113923922181129455566406","21,005113923922181129455566406","System.String[]",,
"vsctxsg04","PoweredOn","v4","vsctxsg04:Microsoft Windows Server 2003, Standard Edition (32-bit)","1","2","vmware05.copv.junta-andalucia.es","HostSystem-host-131093","HostSystem-host-131093","vmware05.copv.junta-andalucia.es",,"ResourcePool-resgroup-130593","Resources","22,003607584163546562194824219","22,003607584163546562194824219","System.String[]","Folder-group-v20244","vm"
"vmjupiterpre01","PoweredOn","v7","vmjupiterpre01:Microsoft Windows Server 2003, Standard Edition (32-bit)","2","1","vmware06.copv.junta-andalucia.es","HostSystem-host-130585","HostSystem-host-130585","vmware06.copv.junta-andalucia.es",,"ResourcePool-resgroup-130593","Resources","30,446729515679180622100830078","30,446729515679180622100830078","System.String[]","Folder-group-v20244","vm"
"vmadalinux01","PoweredOn","v7","vmadalinux01:","1","3","vmware08.copv.junta-andalucia.es","HostSystem-host-22983","HostSystem-host-22983","vmware08.copv.junta-andalucia.es",,"ResourcePool-resgroup-20250","Resources","53,000515839084982872009277344","53,000515839084982872009277344","System.String[]","Folder-group-v20244","vm"
